year,province_code,province_name_ko,province_name_en,sex,age_group,population,population_type,reference_date
2000,28,인천광역시,Incheon,female,85+,5391,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,0-4,54580,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,5-9,60182,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,10-14,51021,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,15-19,61803,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,20-24,62996,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,25-29,66099,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,30-34,65216,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,35-39,60641,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,40-44,55951,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,45-49,38551,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,50-54,32015,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,55-59,25635,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,60-64,19200,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,65-69,12451,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,70-74,7838,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,75-79,4470,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,80-84,2003,registered,2000-12-31
2000,29,광주광역시,Gwangju,male,85+,918,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,0-4,50192,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,5-9,54384,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,10-14,47424,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,15-19,57957,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,20-24,62787,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,25-29,65601,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,30-34,63294,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,35-39,59602,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,40-44,57134,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,45-49,39851,registered,2000-12-31
