Country,year,province_name_en,sex,age_group,population,age_start,age_group_order,broad_age_group
Thailand,1997,Ang Thong,female,35-39,12644,35,7,working_age_15_64
Thailand,1997,Ang Thong,female,40-44,10957,40,8,working_age_15_64
Thailand,1997,Ang Thong,female,45-49,8845,45,9,working_age_15_64
Thailand,1997,Ang Thong,female,50-54,6130,50,10,working_age_15_64
Thailand,1997,Ang Thong,female,55-59,6676,55,11,working_age_15_64
Thailand,1997,Ang Thong,female,60-64,6061,60,12,working_age_15_64
Thailand,1997,Ang Thong,female,65-69,4925,65,13,older_adult_65_plus
Thailand,1997,Ang Thong,female,70-74,3836,70,14,older_adult_65_plus
Thailand,1997,Ang Thong,female,75-79,2530,75,15,older_adult_65_plus
Thailand,1997,Ang Thong,female,80-84,1813,80,16,older_adult_65_plus
Thailand,1997,Ang Thong,female,85+,1565,85,17,older_adult_65_plus
Thailand,1997,Lop Buri,male,0-4,26453,0,0,child_0_14
Thailand,1997,Lop Buri,male,5-9,26416,5,1,child_0_14
Thailand,1997,Lop Buri,male,10-14,27059,10,2,child_0_14
Thailand,1997,Lop Buri,male,15-19,29944,15,3,working_age_15_64
Thailand,1997,Lop Buri,male,20-24,42882,20,4,working_age_15_64
Thailand,1997,Lop Buri,male,25-29,37915,25,5,working_age_15_64
Thailand,1997,Lop Buri,male,30-34,36436,30,6,working_age_15_64
Thailand,1997,Lop Buri,male,35-39,33816,35,7,working_age_15_64
Thailand,1997,Lop Buri,male,40-44,25218,40,8,working_age_15_64
Thailand,1997,Lop Buri,male,45-49,19131,45,9,working_age_15_64
Thailand,1997,Lop Buri,male,50-54,14004,50,10,working_age_15_64
Thailand,1997,Lop Buri,male,55-59,12712,55,11,working_age_15_64
Thailand,1997,Lop Buri,male,60-64,11443,60,12,working_age_15_64
Thailand,1997,Lop Buri,male,65-69,8688,65,13,older_adult_65_plus
Thailand,1997,Lop Buri,male,70-74,5142,70,14,older_adult_65_plus
Thailand,1997,Lop Buri,male,75-79,3214,75,15,older_adult_65_plus
Thailand,1997,Lop Buri,male,80-84,1931,80,16,older_adult_65_plus
Thailand,1997,Lop Buri,male,85+,1711,85,17,older_adult_65_plus
Thailand,1997,Lop Buri,female,0-4,24656,0,0,child_0_14
Thailand,1997,Lop Buri,female,5-9,25274,5,1,child_0_14
Thailand,1997,Lop Buri,female,10-14,26012,10,2,child_0_14
Thailand,1997,Lop Buri,female,15-19,28833,15,3,working_age_15_64
Thailand,1997,Lop Buri,female,20-24,31402,20,4,working_age_15_64
Thailand,1997,Lop Buri,female,25-29,35083,25,5,working_age_15_64
Thailand,1997,Lop Buri,female,30-34,36803,30,6,working_age_15_64
Thailand,1997,Lop Buri,female,35-39,32131,35,7,working_age_15_64
Thailand,1997,Lop Buri,female,40-44,25824,40,8,working_age_15_64
Thailand,1997,Lop Buri,female,45-49,20321,45,9,working_age_15_64
Thailand,1997,Lop Buri,female,50-54,14736,50,10,working_age_15_64
Thailand,1997,Lop Buri,female,55-59,14301,55,11,working_age_15_64
Thailand,1997,Lop Buri,female,60-64,12237,60,12,working_age_15_64
Thailand,1997,Lop Buri,female,65-69,9244,65,13,older_adult_65_plus
Thailand,1997,Lop Buri,female,70-74,6355,70,14,older_adult_65_plus
Thailand,1997,Lop Buri,female,75-79,4031,75,15,older_adult_65_plus
Thailand,1997,Lop Buri,female,80-84,2739,80,16,older_adult_65_plus
Thailand,1997,Lop Buri,female,85+,2587,85,17,older_adult_65_plus
Thailand,1997,Sing Buri,male,0-4,7079,0,0,child_0_14
Thailand,1997,Sing Buri,male,5-9,7340,5,1,child_0_14
Thailand,1997,Sing Buri,male,10-14,7891,10,2,child_0_14
Thailand,1997,Sing Buri,male,15-19,8700,15,3,working_age_15_64
Thailand,1997,Sing Buri,male,20-24,8356,20,4,working_age_15_64
Thailand,1997,Sing Buri,male,25-29,9242,25,5,working_age_15_64
Thailand,1997,Sing Buri,male,30-34,10155,30,6,working_age_15_64
Thailand,1997,Sing Buri,male,35-39,9402,35,7,working_age_15_64
Thailand,1997,Sing Buri,male,40-44,7653,40,8,working_age_15_64
Thailand,1997,Sing Buri,male,45-49,6115,45,9,working_age_15_64
Thailand,1997,Sing Buri,male,50-54,4298,50,10,working_age_15_64
Thailand,1997,Sing Buri,male,55-59,4223,55,11,working_age_15_64
Thailand,1997,Sing Buri,male,60-64,3873,60,12,working_age_15_64
Thailand,1997,Sing Buri,male,65-69,2732,65,13,older_adult_65_plus
Thailand,1997,Sing Buri,male,70-74,1907,70,14,older_adult_65_plus
Thailand,1997,Sing Buri,male,75-79,1102,75,15,older_adult_65_plus
Thailand,1997,Sing Buri,male,80-84,657,80,16,older_adult_65_plus
Thailand,1997,Sing Buri,male,85+,452,85,17,older_adult_65_plus
Thailand,1997,Sing Buri,female,0-4,6506,0,0,child_0_14
Thailand,1997,Sing Buri,female,5-9,7030,5,1,child_0_14
Thailand,1997,Sing Buri,female,10-14,7215,10,2,child_0_14
Thailand,1997,Sing Buri,female,15-19,7966,15,3,working_age_15_64
Thailand,1997,Sing Buri,female,20-24,8429,20,4,working_age_15_64
Thailand,1997,Sing Buri,female,25-29,9777,25,5,working_age_15_64
Thailand,1997,Sing Buri,female,30-34,10601,30,6,working_age_15_64
Thailand,1997,Sing Buri,female,35-39,10384,35,7,working_age_15_64
Thailand,1997,Sing Buri,female,40-44,8682,40,8,working_age_15_64
Thailand,1997,Sing Buri,female,45-49,6807,45,9,working_age_15_64
Thailand,1997,Sing Buri,female,50-54,4698,50,10,working_age_15_64
Thailand,1997,Sing Buri,female,55-59,4812,55,11,working_age_15_64
Thailand,1997,Sing Buri,female,60-64,4390,60,12,working_age_15_64
Thailand,1997,Sing Buri,female,65-69,3563,65,13,older_adult_65_plus
Thailand,1997,Sing Buri,female,70-74,2576,70,14,older_adult_65_plus
Thailand,1997,Sing Buri,female,75-79,1577,75,15,older_adult_65_plus
Thailand,1997,Sing Buri,female,80-84,1172,80,16,older_adult_65_plus
Thailand,1997,Sing Buri,female,85+,888,85,17,older_adult_65_plus
Thailand,1997,Chai Nat,male,0-4,11220,0,0,child_0_14
Thailand,1997,Chai Nat,male,5-9,12217,5,1,child_0_14
Thailand,1997,Chai Nat,male,10-14,11918,10,2,child_0_14
Thailand,1997,Chai Nat,male,15-19,13559,15,3,working_age_15_64
Thailand,1997,Chai Nat,male,20-24,14419,20,4,working_age_15_64
Thailand,1997,Chai Nat,male,25-29,15768,25,5,working_age_15_64
Thailand,1997,Chai Nat,male,30-34,16471,30,6,working_age_15_64
Thailand,1997,Chai Nat,male,35-39,14540,35,7,working_age_15_64
Thailand,1997,Chai Nat,male,40-44,12075,40,8,working_age_15_64
Thailand,1997,Chai Nat,male,45-49,10130,45,9,working_age_15_64
Thailand,1997,Chai Nat,male,50-54,7016,50,10,working_age_15_64
Thailand,1997,Chai Nat,male,55-59,7258,55,11,working_age_15_64
Thailand,1997,Chai Nat,male,60-64,6466,60,12,working_age_15_64
Thailand,1997,Chai Nat,male,65-69,4684,65,13,older_adult_65_plus
