Country,year,province_name_en,sex,age_group,population,age_start,age_group_order,broad_age_group
Thailand,2000,Lop Buri,female,55-59,13694,55,11,working_age_15_64
Thailand,2000,Lop Buri,female,60-64,13253,60,12,working_age_15_64
Thailand,2000,Lop Buri,female,65-69,10435,65,13,older_adult_65_plus
Thailand,2000,Lop Buri,female,70-74,7511,70,14,older_adult_65_plus
Thailand,2000,Lop Buri,female,75-79,4686,75,15,older_adult_65_plus
Thailand,2000,Lop Buri,female,80-84,2863,80,16,older_adult_65_plus
Thailand,2000,Lop Buri,female,85+,2764,85,17,older_adult_65_plus
Thailand,2000,Sing Buri,male,0-4,6873,0,0,child_0_14
Thailand,2000,Sing Buri,male,5-9,7543,5,1,child_0_14
Thailand,2000,Sing Buri,male,10-14,7340,10,2,child_0_14
Thailand,2000,Sing Buri,male,15-19,8309,15,3,working_age_15_64
Thailand,2000,Sing Buri,male,20-24,8467,20,4,working_age_15_64
Thailand,2000,Sing Buri,male,25-29,8363,25,5,working_age_15_64
Thailand,2000,Sing Buri,male,30-34,9247,30,6,working_age_15_64
Thailand,2000,Sing Buri,male,35-39,9933,35,7,working_age_15_64
Thailand,2000,Sing Buri,male,40-44,8465,40,8,working_age_15_64
Thailand,2000,Sing Buri,male,45-49,7052,45,9,working_age_15_64
Thailand,2000,Sing Buri,male,50-54,5400,50,10,working_age_15_64
Thailand,2000,Sing Buri,male,55-59,4120,55,11,working_age_15_64
Thailand,2000,Sing Buri,male,60-64,4253,60,12,working_age_15_64
Thailand,2000,Sing Buri,male,65-69,3312,65,13,older_adult_65_plus
Thailand,2000,Sing Buri,male,70-74,2248,70,14,older_adult_65_plus
Thailand,2000,Sing Buri,male,75-79,1394,75,15,older_adult_65_plus
Thailand,2000,Sing Buri,male,80-84,721,80,16,older_adult_65_plus
Thailand,2000,Sing Buri,male,85+,532,85,17,older_adult_65_plus
Thailand,2000,Sing Buri,female,0-4,6409,0,0,child_0_14
Thailand,2000,Sing Buri,female,5-9,6850,5,1,child_0_14
Thailand,2000,Sing Buri,female,10-14,6908,10,2,child_0_14
Thailand,2000,Sing Buri,female,15-19,7624,15,3,working_age_15_64
Thailand,2000,Sing Buri,female,20-24,8318,20,4,working_age_15_64
Thailand,2000,Sing Buri,female,25-29,8628,25,5,working_age_15_64
Thailand,2000,Sing Buri,female,30-34,9818,30,6,working_age_15_64
Thailand,2000,Sing Buri,female,35-39,10769,35,7,working_age_15_64
Thailand,2000,Sing Buri,female,40-44,9849,40,8,working_age_15_64
Thailand,2000,Sing Buri,female,45-49,8056,45,9,working_age_15_64
Thailand,2000,Sing Buri,female,50-54,6314,50,10,working_age_15_64
Thailand,2000,Sing Buri,female,55-59,4812,55,11,working_age_15_64
Thailand,2000,Sing Buri,female,60-64,5001,60,12,working_age_15_64
Thailand,2000,Sing Buri,female,65-69,4144,65,13,older_adult_65_plus
Thailand,2000,Sing Buri,female,70-74,3160,70,14,older_adult_65_plus
Thailand,2000,Sing Buri,female,75-79,2103,75,15,older_adult_65_plus
Thailand,2000,Sing Buri,female,80-84,1246,80,16,older_adult_65_plus
Thailand,2000,Sing Buri,female,85+,1015,85,17,older_adult_65_plus
Thailand,2000,Chai Nat,male,0-4,10947,0,0,child_0_14
Thailand,2000,Chai Nat,male,5-9,12214,5,1,child_0_14
Thailand,2000,Chai Nat,male,10-14,11480,10,2,child_0_14
Thailand,2000,Chai Nat,male,15-19,12731,15,3,working_age_15_64
Thailand,2000,Chai Nat,male,20-24,13447,20,4,working_age_15_64
Thailand,2000,Chai Nat,male,25-29,14735,25,5,working_age_15_64
Thailand,2000,Chai Nat,male,30-34,15290,30,6,working_age_15_64
Thailand,2000,Chai Nat,male,35-39,15768,35,7,working_age_15_64
Thailand,2000,Chai Nat,male,40-44,12984,40,8,working_age_15_64
Thailand,2000,Chai Nat,male,45-49,10987,45,9,working_age_15_64
Thailand,2000,Chai Nat,male,50-54,8569,50,10,working_age_15_64
Thailand,2000,Chai Nat,male,55-59,6694,55,11,working_age_15_64
Thailand,2000,Chai Nat,male,60-64,6654,60,12,working_age_15_64
Thailand,2000,Chai Nat,male,65-69,5291,65,13,older_adult_65_plus
Thailand,2000,Chai Nat,male,70-74,3547,70,14,older_adult_65_plus
Thailand,2000,Chai Nat,male,75-79,2173,75,15,older_adult_65_plus
Thailand,2000,Chai Nat,male,80-84,1118,80,16,older_adult_65_plus
Thailand,2000,Chai Nat,male,85+,798,85,17,older_adult_65_plus
Thailand,2000,Chai Nat,female,0-4,10241,0,0,child_0_14
Thailand,2000,Chai Nat,female,5-9,11564,5,1,child_0_14
Thailand,2000,Chai Nat,female,10-14,10840,10,2,child_0_14
Thailand,2000,Chai Nat,female,15-19,12067,15,3,working_age_15_64
Thailand,2000,Chai Nat,female,20-24,13756,20,4,working_age_15_64
Thailand,2000,Chai Nat,female,25-29,14666,25,5,working_age_15_64
Thailand,2000,Chai Nat,female,30-34,15989,30,6,working_age_15_64
Thailand,2000,Chai Nat,female,35-39,16578,35,7,working_age_15_64
Thailand,2000,Chai Nat,female,40-44,14606,40,8,working_age_15_64
Thailand,2000,Chai Nat,female,45-49,12594,45,9,working_age_15_64
Thailand,2000,Chai Nat,female,50-54,9796,50,10,working_age_15_64
Thailand,2000,Chai Nat,female,55-59,7764,55,11,working_age_15_64
Thailand,2000,Chai Nat,female,60-64,7852,60,12,working_age_15_64
Thailand,2000,Chai Nat,female,65-69,6254,65,13,older_adult_65_plus
Thailand,2000,Chai Nat,female,70-74,4638,70,14,older_adult_65_plus
Thailand,2000,Chai Nat,female,75-79,3183,75,15,older_adult_65_plus
Thailand,2000,Chai Nat,female,80-84,1895,80,16,older_adult_65_plus
Thailand,2000,Chai Nat,female,85+,1553,85,17,older_adult_65_plus
Thailand,2000,Saraburi,male,0-4,21210,0,0,child_0_14
Thailand,2000,Saraburi,male,5-9,22299,5,1,child_0_14
Thailand,2000,Saraburi,male,10-14,20535,10,2,child_0_14
Thailand,2000,Saraburi,male,15-19,22095,15,3,working_age_15_64
Thailand,2000,Saraburi,male,20-24,27149,20,4,working_age_15_64
Thailand,2000,Saraburi,male,25-29,25729,25,5,working_age_15_64
Thailand,2000,Saraburi,male,30-34,25794,30,6,working_age_15_64
Thailand,2000,Saraburi,male,35-39,25855,35,7,working_age_15_64
Thailand,2000,Saraburi,male,40-44,21292,40,8,working_age_15_64
Thailand,2000,Saraburi,male,45-49,15645,45,9,working_age_15_64
Thailand,2000,Saraburi,male,50-54,11584,50,10,working_age_15_64
Thailand,2000,Saraburi,male,55-59,8910,55,11,working_age_15_64
Thailand,2000,Saraburi,male,60-64,8450,60,12,working_age_15_64
Thailand,2000,Saraburi,male,65-69,6454,65,13,older_adult_65_plus
Thailand,2000,Saraburi,male,70-74,4522,70,14,older_adult_65_plus
Thailand,2000,Saraburi,male,75-79,2573,75,15,older_adult_65_plus
Thailand,2000,Saraburi,male,80-84,1333,80,16,older_adult_65_plus
Thailand,2000,Saraburi,male,85+,1117,85,17,older_adult_65_plus
Thailand,2000,Saraburi,female,0-4,19603,0,0,child_0_14
Thailand,2000,Saraburi,female,5-9,21598,5,1,child_0_14
Thailand,2000,Saraburi,female,10-14,19526,10,2,child_0_14
