year,province_name_en,sex,age_group,population
2000,Chungcheongbuk-do,female,55-59,36629
2000,Chungcheongbuk-do,female,60-64,36751
2000,Chungcheongbuk-do,female,65-69,31438
2000,Chungcheongbuk-do,female,70-74,22429
2000,Chungcheongbuk-do,female,75-79,15369
2000,Chungcheongbuk-do,female,80-84,8799
2000,Chungcheongbuk-do,female,85+,5846
2000,Chungcheongnam-do,male,0-4,65714
2000,Chungcheongnam-do,male,5-9,71163
2000,Chungcheongnam-do,male,10-14,63006
2000,Chungcheongnam-do,male,15-19,77316
2000,Chungcheongnam-do,male,20-24,85760
2000,Chungcheongnam-do,male,25-29,85509
2000,Chungcheongnam-do,male,30-34,81263
2000,Chungcheongnam-do,male,35-39,81062
2000,Chungcheongnam-do,male,40-44,76387
2000,Chungcheongnam-do,male,45-49,56438
2000,Chungcheongnam-do,male,50-54,48674
2000,Chungcheongnam-do,male,55-59,43720
2000,Chungcheongnam-do,male,60-64,45284
2000,Chungcheongnam-do,male,65-69,37912
2000,Chungcheongnam-do,male,70-74,22768
2000,Chungcheongnam-do,male,75-79,14561
2000,Chungcheongnam-do,male,80-84,6880
2000,Chungcheongnam-do,male,85+,2996
2000,Chungcheongnam-do,female,0-4,60090
2000,Chungcheongnam-do,female,5-9,63175
2000,Chungcheongnam-do,female,10-14,58320
2000,Chungcheongnam-do,female,15-19,73980
2000,Chungcheongnam-do,female,20-24,73881
2000,Chungcheongnam-do,female,25-29,72030
2000,Chungcheongnam-do,female,30-34,73030
2000,Chungcheongnam-do,female,35-39,72809
2000,Chungcheongnam-do,female,40-44,70121
2000,Chungcheongnam-do,female,45-49,54480
2000,Chungcheongnam-do,female,50-54,47609
2000,Chungcheongnam-do,female,55-59,51038
2000,Chungcheongnam-do,female,60-64,54686
2000,Chungcheongnam-do,female,65-69,49510
2000,Chungcheongnam-do,female,70-74,34030
2000,Chungcheongnam-do,female,75-79,23594
2000,Chungcheongnam-do,female,80-84,13411
2000,Chungcheongnam-do,female,85+,9397
2000,Jeollanam-do,male,0-4,70290
2000,Jeollanam-do,male,5-9,76270
2000,Jeollanam-do,male,10-14,66691
2000,Jeollanam-do,male,15-19,89967
2000,Jeollanam-do,male,20-24,100208
2000,Jeollanam-do,male,25-29,87270
2000,Jeollanam-do,male,30-34,85208
2000,Jeollanam-do,male,35-39,82820
2000,Jeollanam-do,male,40-44,80210
2000,Jeollanam-do,male,45-49,61262
2000,Jeollanam-do,male,50-54,58389
2000,Jeollanam-do,male,55-59,54829
2000,Jeollanam-do,male,60-64,54589
2000,Jeollanam-do,male,65-69,40216
2000,Jeollanam-do,male,70-74,26825
2000,Jeollanam-do,male,75-79,16473
2000,Jeollanam-do,male,80-84,7286
2000,Jeollanam-do,male,85+,3156
2000,Jeollanam-do,female,0-4,64801
2000,Jeollanam-do,female,5-9,69380
2000,Jeollanam-do,female,10-14,62829
2000,Jeollanam-do,female,15-19,86109
2000,Jeollanam-do,female,20-24,82229
2000,Jeollanam-do,female,25-29,71187
2000,Jeollanam-do,female,30-34,73573
2000,Jeollanam-do,female,35-39,73387
2000,Jeollanam-do,female,40-44,73342
2000,Jeollanam-do,female,45-49,58418
2000,Jeollanam-do,female,50-54,57868
2000,Jeollanam-do,female,55-59,64957
2000,Jeollanam-do,female,60-64,70161
2000,Jeollanam-do,female,65-69,57740
2000,Jeollanam-do,female,70-74,43755
2000,Jeollanam-do,female,75-79,29808
2000,Jeollanam-do,female,80-84,16590
2000,Jeollanam-do,female,85+,12521
2000,Gyeongsangbuk-do,male,0-4,94048
2000,Gyeongsangbuk-do,male,5-9,104700
2000,Gyeongsangbuk-do,male,10-14,93376
2000,Gyeongsangbuk-do,male,15-19,110290
2000,Gyeongsangbuk-do,male,20-24,120544
2000,Gyeongsangbuk-do,male,25-29,121884
2000,Gyeongsangbuk-do,male,30-34,122521
2000,Gyeongsangbuk-do,male,35-39,120343
2000,Gyeongsangbuk-do,male,40-44,113884
2000,Gyeongsangbuk-do,male,45-49,87190
2000,Gyeongsangbuk-do,male,50-54,70655
2000,Gyeongsangbuk-do,male,55-59,63660
2000,Gyeongsangbuk-do,male,60-64,63517
2000,Gyeongsangbuk-do,male,65-69,49154
2000,Gyeongsangbuk-do,male,70-74,30844
2000,Gyeongsangbuk-do,male,75-79,20376
2000,Gyeongsangbuk-do,male,80-84,10230
2000,Gyeongsangbuk-do,male,85+,4296
2000,Gyeongsangbuk-do,female,0-4,83232
2000,Gyeongsangbuk-do,female,5-9,86710
2000,Gyeongsangbuk-do,female,10-14,78559
2000,Gyeongsangbuk-do,female,15-19,104402
2000,Gyeongsangbuk-do,female,20-24,108480
2000,Gyeongsangbuk-do,female,25-29,109624
2000,Gyeongsangbuk-do,female,30-34,112725
2000,Gyeongsangbuk-do,female,35-39,109656
2000,Gyeongsangbuk-do,female,40-44,106181
2000,Gyeongsangbuk-do,female,45-49,86207
2000,Gyeongsangbuk-do,female,50-54,69344
2000,Gyeongsangbuk-do,female,55-59,75245
2000,Gyeongsangbuk-do,female,60-64,79587
2000,Gyeongsangbuk-do,female,65-69,68045
2000,Gyeongsangbuk-do,female,70-74,49585
2000,Gyeongsangbuk-do,female,75-79,34255
2000,Gyeongsangbuk-do,female,80-84,20682
2000,Gyeongsangbuk-do,female,85+,13147
2000,Gyeongsangnam-do,male,0-4,113935
2000,Gyeongsangnam-do,male,5-9,128652
2000,Gyeongsangnam-do,male,10-14,109843
2000,Gyeongsangnam-do,male,15-19,125086
2000,Gyeongsangnam-do,male,20-24,128940
2000,Gyeongsangnam-do,male,25-29,135961
2000,Gyeongsangnam-do,male,30-34,145147
2000,Gyeongsangnam-do,male,35-39,143394
2000,Gyeongsangnam-do,male,40-44,136839
2000,Gyeongsangnam-do,male,45-49,97364
2000,Gyeongsangnam-do,male,50-54,73842
2000,Gyeongsangnam-do,male,55-59,60219
2000,Gyeongsangnam-do,male,60-64,56021
2000,Gyeongsangnam-do,male,65-69,41844
2000,Gyeongsangnam-do,male,70-74,26290
2000,Gyeongsangnam-do,male,75-79,16030
2000,Gyeongsangnam-do,male,80-84,6641
2000,Gyeongsangnam-do,male,85+,2672
2000,Gyeongsangnam-do,female,0-4,101133
2000,Gyeongsangnam-do,female,5-9,109555
2000,Gyeongsangnam-do,female,10-14,96910
2000,Gyeongsangnam-do,female,15-19,118364
2000,Gyeongsangnam-do,female,20-24,116806
2000,Gyeongsangnam-do,female,25-29,128176
2000,Gyeongsangnam-do,female,30-34,140877
2000,Gyeongsangnam-do,female,35-39,134606
2000,Gyeongsangnam-do,female,40-44,125535
2000,Gyeongsangnam-do,female,45-49,92154
2000,Gyeongsangnam-do,female,50-54,71720
2000,Gyeongsangnam-do,female,55-59,69876
2000,Gyeongsangnam-do,female,60-64,72155
2000,Gyeongsangnam-do,female,65-69,63757
2000,Gyeongsangnam-do,female,70-74,46960
2000,Gyeongsangnam-do,female,75-79,31514
2000,Gyeongsangnam-do,female,80-84,15486
2000,Gyeongsangnam-do,female,85+,10109
2000,Jeju,male,0-4,21695
2000,Jeju,male,5-9,22942
2000,Jeju,male,10-14,18040
2000,Jeju,male,15-19,21617
2000,Jeju,male,20-24,23515
2000,Jeju,male,25-29,25437
2000,Jeju,male,30-34,26190
2000,Jeju,male,35-39,24537
2000,Jeju,male,40-44,21931
2000,Jeju,male,45-49,15279
2000,Jeju,male,50-54,13405
2000,Jeju,male,55-59,11624
2000,Jeju,male,60-64,9801
2000,Jeju,male,65-69,6774
2000,Jeju,male,70-74,3044
2000,Jeju,male,75-79,1863
2000,Jeju,male,80-84,928
2000,Jeju,male,85+,504
2000,Jeju,female,0-4,19851
2000,Jeju,female,5-9,20893
2000,Jeju,female,10-14,16242
2000,Jeju,female,15-19,20512
2000,Jeju,female,20-24,21409
2000,Jeju,female,25-29,24552
2000,Jeju,female,30-34,24438
2000,Jeju,female,35-39,22713
