year,province_code,province_name_th,province_name_en,sex,age_group,population,population_type,reference_date
2000,13,ปทุมธานี,Pathum Thani,male,15-19,24704,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,male,20-24,26059,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,male,25-29,27594,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,male,30-34,33452,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,male,35-39,32032,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,male,40-44,25758,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,male,45-49,19502,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,male,50-54,13339,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,male,55-59,9761,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,male,60-64,8747,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,male,65-69,6116,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,male,70-74,3855,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,male,75-79,2166,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,male,80-84,1086,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,male,85+,1286,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,male,not_age_classified,11110,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,0-4,23283,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,5-9,24116,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,10-14,21782,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,15-19,24241,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,20-24,26697,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,25-29,30286,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,30-34,36619,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,35-39,34871,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,40-44,28121,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,45-49,21756,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,50-54,15183,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,55-59,11023,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,60-64,9693,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,65-69,7020,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,70-74,4973,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,75-79,2979,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,80-84,1779,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,85+,2122,registered,2000-12-31
2000,13,ปทุมธานี,Pathum Thani,female,not_age_classified,10196,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,0-4,25111,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,5-9,27189,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,10-14,25181,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,15-19,27741,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,20-24,28487,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,25-29,30405,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,30-34,32811,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,35-39,32222,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,40-44,26333,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,45-49,20404,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,50-54,14607,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,55-59,11790,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,60-64,11850,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,65-69,9321,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,70-74,6720,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,75-79,4130,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,80-84,2217,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,85+,2073,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,male,not_age_classified,18947,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,0-4,23573,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,5-9,25752,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,10-14,23487,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,15-19,25876,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,20-24,29089,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,25-29,31091,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,30-34,34611,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,35-39,34119,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,40-44,28853,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,45-49,22953,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,50-54,16884,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,55-59,14093,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,60-64,13953,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,65-69,11419,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,70-74,8908,registered,2000-12-31
